2452217|64987|2452271|32480|1759210|5940|30270|32480|1759210|5940|30270|1|5983|10|1|13533|181|117421|66|53.44|135.20|79.76|3659.04|5264.16|3527.04|8923.20|421.13|0.00|981.42|5264.16|5685.29|6245.58|6666.71|1737.12|
2451806|39258|2451893|4132|810607|1529|26004|4132|810607|1529|26004|1|4028|11|4|16739|97|80219|79|52.39|113.68|47.74|5209.26|3771.46|4138.81|8980.72|99.56|1282.29|89.27|2489.17|2588.73|2578.44|2678.00|-1649.64|
2451417|9100|2451491|68980|746060|3940|1373|68980|746060|3940|1373|1|2062|3|5|8384|4|45515|82|83.62|172.25|170.52|141.86|13982.64|6856.84|14124.50|78.30|10067.50|1977.02|3915.14|3993.44|5892.16|5970.46|-2941.70|
2452255|27263|2452320|15052|1062201|197|4193|7499|958538|3734|930|1|6240|1|5|5637|208|124084|43|12.49|27.60|27.60|0.00|1186.80|537.07|1186.80|0.00|0.00|70.95|1186.80|1186.80|1257.75|1257.75|649.73|
2452232|65062|2452311|31009|763927|4845|14563|31009|763927|4845|14563|3|6224|16|3|2173|227|120116|63|94.99|284.02|269.81|895.23|16998.03|5984.37|17893.26|169.98|0.00|715.68|16998.03|17168.01|17713.71|17883.69|11013.66|
2452109|25381|2452113|2842|1585|1575|40318|2842|1585|1575|40318|1|6002|7|5|5005|126|105931|9|14.98|26.81|1.34|229.23|12.06|134.82|241.29|0.24|0.00|40.95|12.06|12.30|53.01|53.25|-122.76|
2451883|5175|2451961|96937|1632660|3136|11612|96937|1632660|3136|11612|1|4087|14|5|4939|31|91063|30|17.63|47.95|34.52|402.90|1035.60|528.90|1438.50|82.84|0.00|258.90|1035.60|1118.44|1294.50|1377.34|506.70|
2452255|81223|2452264|2693|1302617|5294|38818|2693|1302617|5294|38818|3|6013|4|5|6953|97|124128|32|4.37|11.71|2.81|284.80|89.92|139.84|374.72|3.59|0.00|22.40|89.92|93.51|112.32|115.91|-49.92|
2452145|69149|2452203|19472|1553583|2894|11805|4214|967627|138|34602|1|6149|6|4|15069|146|109135|76|87.98|127.57|3.82|9405.00|290.32|6686.48|9695.32|0.11|278.70|0.00|11.62|11.73|11.62|11.73|-6674.86|
2452296|36921|2452355|56665|1714542|4866|4743|56665|1714542|4866|4743|1|7850|4|4|14367|144|128787|6|5.62|13.88|9.71|25.02|58.26|33.72|83.28|4.66|0.00|5.82|58.26|62.92|64.08|68.74|24.54|
2452601|75301|2452660|60274|1389328|3182|14589|60274|1389328|3182|14589|3|7992|5|3|5175|249|152670|29|51.75|128.34|77.00|1488.86|2233.00|1500.75|3721.86|178.64|0.00|1711.87|2233.00|2411.64|3944.87|4123.51|732.25|
2451539|66375|2451581|40319|178291|3016|45388|40319|178291|3016|45388|1|2309|2|5|11047|136|62892|96|77.91|186.98|162.67|2333.76|15616.32|7479.36|17950.08|780.81|0.00|8975.04|15616.32|16397.13|24591.36|25372.17|8136.96|
2451533|39292|2451548|54777|148671|6918|35565|54777|148671|6918|35565|4|2145|11|1|12985|101|61840|77|72.79|189.98|157.68|2487.10|12141.36|5604.83|14628.46|485.65|0.00|5558.63|12141.36|12627.01|17699.99|18185.64|6536.53|
2451128|46088|2451217|61023|185357|1691|44825|61023|185357|1691|44825|1|140|17|2|10948|27|22811|40|53.64|127.66|62.55|2604.40|2502.00|2145.60|5106.40|57.79|1676.34|970.00|825.66|883.45|1795.66|1853.45|-1319.94|
